Team|OPR|Inner Auto Cells|Outer Auto Cells|Inner Teleop Cells|Outer Teleop Cells|Initation Line|Penalties|Hang|Park|None
frc5951|25.799198540449794|0.5660796748562789|0.4148032761437185|0.2165480013611728|3.744638898041537|0.9090909090909091|-2.2422253397723266|0.5454545454545454|0.18181818181818182|0.2727272727272727
frc5987|44.05848973187702|1.2534356654927588|1.4511442511756993|0.8792352466650752|4.538420129562441|1.0|4.103998437095566|0.5454545454545454|0.36363636363636365|0.09090909090909091
frc6049|23.88085723165255|0.16148794834372282|0.362498075888646|-0.2861082246342104|0.4145011719841123|0.7272727272727273|3.672428696834638|0.2727272727272727|0.2727272727272727|0.45454545454545453
frc6104|39.567463594765485|0.7579708939380911|1.886978615611035|1.4646064120121154|3.857817792277544|0.8333333333333334|2.1752628426616365|0.0|0.25|0.75
frc6168|27.378559014547093|0.20985990984539846|2.1272987842624067|-0.6760567628618069|1.079109628284653|0.9090909090909091|2.787166316184731|0.36363636363636365|0.2727272727272727|0.36363636363636365
frc6736|43.02162222008062|-0.04053074464721984|0.2655947502162801|0.007278957545011622|2.46310602230072|1.0|7.031253679996746|0.7272727272727273|0.18181818181818182|0.09090909090909091
frc7039|53.01506553255579|0.07472862854764326|2.2013747712078575|0.4529125155884691|7.165005930243272|1.0|7.585311327036849|0.5454545454545454|0.45454545454545453|0.0
frc7067|52.02229313662758|1.0264126596739136|1.0775985951606393|1.1600400322606936|3.976084534041499|1.0|-2.4155868349233467|0.8181818181818182|0.18181818181818182|0.0
frc7177|37.097676416676485|-0.23424312007271902|2.2307128225024724|0.7484047094616673|2.9308139355275564|1.0|7.542997670085068|0.5454545454545454|0.09090909090909091|0.36363636363636365
frc8175|43.06172873015002|-0.12839696885115648|2.497562870055196|-0.5011682376036537|5.361072230819076|1.0|1.5613108289670343|0.0|0.45454545454545453|0.5454545454545454
frc8340|5.616589566200798|-0.07019264361981559|0.574128844837941|0.5705119196433702|1.1445461883245334|0.36363636363636365|13.651352889222192|0.0|0.36363636363636365|0.6363636363636364
